username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
????Kelly,9.40E+17,3/14/2018 18:41,RT @CBCAlerts: Teacher accidentally fires gun inside California classroom while teaching gun safety lesson. Weapon was pointed at the ceiliÉ??,302,421,561,0,0
Lord,2997076981,3/14/2018 18:41,RT @georgegalloway: IF only #Russia had access to #Novichok WHY would they choose that weapon to mount a terrorist attack in England? MightÉ??,27,265,589,0,1
Scooti Kelly,7.35E+17,3/14/2018 18:41,RT @AintRob: When I land on a rooftop in Fortnite with an enemy and thereÉ??s no weapon around us https://t.co/mQKAFrkSei,579,127,62,0,0
Alvaro G,2363646206,3/14/2018 18:41,@adriel_willis @MaddyJoy16 @gray810 @BeecroftDrew If you were that officer you do what's   Necessary at that momentÉ?? https://t.co/BigJWBORnR,0,46,340,0,1
Samantha L. Stewart,65126890,3/14/2018 18:41,"RT @thedailybeast: Should kids fear their gun-toting teachers in schools, too, on #NationalWalkoutDay? A five-year veteran of the AlexandriÉ??",42,301,741,0,0
Awura Adwoa Amihere,3355808267,3/14/2018 18:41,"RT @MensaOtabil: No weapon formed against your destiny shall prosper. ???úÉ??ã?è???Æ???ù???????≠
 #PrayerBullet",546,106,167,0,0
Labour Politics Zone,7.94E+17,3/14/2018 18:41,RT @chrisrose1717: @StephenWadswor2 @JWoodcockMP @wesstreeting @stellacreasy @MikeGapes @coyleneil @ChukaUmunna @anncoffey_mp @RuthSmeeth @É??,2,4664,247,0,0
Mike Gapes,15672615,3/14/2018 18:41,RT @chrisrose1717: @StephenWadswor2 @JWoodcockMP @wesstreeting @stellacreasy @MikeGapes @coyleneil @ChukaUmunna @anncoffey_mp @RuthSmeeth @É??,2,22412,917,0,0
mikael,272612074,3/14/2018 18:41,RT @tolkienianjedi: choose your weapon noise fighter https://t.co/7qZOHQjXRk,158,843,703,0,0
KimEbeth,9.15E+17,3/14/2018 18:40,"RT @cameron_kasky: This isnÉ??t just about school safety. Americans are in danger everywhere we go. Movie theatres, airports, churches...

ThÉ??",3430,223,985,0,0
jim mc allister,1285699344,3/14/2018 18:40,RT @bill_macbeth: Ah! No matter that the weapon was so obviously Russian and that both the U.K. and the U.S.A have this weapon in stock theÉ??,3,3500,3737,0,0
Colin W,3402002896,3/14/2018 18:40,"@VFM8445 @KyleKashuv ""Go soak your brain in more antidepressants and maybe the scary world will go away"" - I'm notÉ?? https://t.co/t1GKRFF0xI",0,28,111,0,0.75
Leah,4411458383,3/14/2018 18:40,"RT @CNN: Students at a Los Angeles school held a die-in spelling #ENOUGH with their bodies as a gong sounded 17 times, one for each studentÉ??",2233,97,296,0,0.5
one of THOSE nights,7.02E+17,3/14/2018 18:40,RT @Joeseifert2: @RealSaavedra Here's where you got your information. Way to include the number 1 or number 2 murder instruments: hand gunsÉ??,3,26,71,0,0
Barb,257130991,3/14/2018 18:40,RT @TheGayHumanist: I remember when we had a President who wanted to end poverty. Now we have one who views poverty as a weapon in his arseÉ??,5,3163,3756,0,0
Sandra Helms,7.60E+17,3/14/2018 18:40,"RT @cameron_kasky: This isnÉ??t just about school safety. Americans are in danger everywhere we go. Movie theatres, airports, churches...

ThÉ??",3430,66,203,0,0
K #Cob4PM #RJCOB #PCDCAB #changeiscoming,8.73E+17,3/14/2018 18:40,RT @martinjhamer: @James4Labour @theresa_may IÉ??m no Columbo but what was the Russian motive for attempted murder of a man who had served hiÉ??,2,859,691,0,0
Universal Gamer,2945278534,3/14/2018 18:40,@XxArchangel66xX That's how I was with it until yesterday ahah I like all the stuff like camos calling cards/emblemÉ?? https://t.co/Fw1y9v1jdF,0,1025,2199,0,0
ladycat713,14649981,3/14/2018 18:40,RT @thehill: Teacher trained in gun use accidentally discharges weapon in classroom during lesson on safety: https://t.co/aLPdORPNdr https:É??,1231,532,3246,0,0
Jason Kane,2300794253,3/14/2018 18:40,RT @georgegalloway: IF only #Russia had access to #Novichok WHY would they choose that weapon to mount a terrorist attack in England? MightÉ??,27,108,248,0,1
Thomas bigot,4805375866,3/14/2018 18:40,"RT @SparkR6S: SIX INVITATIONAL GIVEAWAY:

- Player Charm
- Weapon Skin

Retweet and follow @SparkR6S

Winner will be drawn Wednesday, MarchÉ??",985,30,120,0,0
Swati Joshi,2498776922,3/14/2018 18:40,RT @99999sv: Acche Din for keeps/Mistresses/Concubines/Girlfriends/Arms agents/Weapon brokers/Defence import pimps in #Delhi Adani/Ambani/NÉ??,1,3072,175,0,0
Brookingslib,8.28E+17,3/14/2018 18:40,"@CloydRivers Uhhhh, they really don't like the possibility of being massacred by a lunatic with a military type weapon. Merica",0,281,743,0.05,0.15
vivian,9.48E+17,3/14/2018 18:41,@SFGate Now whats the argument????  Do you really want to trust teachers wirth a weapon??? Big big mistake. I happeÉ?? https://t.co/5GgZhqcHtv,0,0,32,0.066666667,0.133333333
Magnus K,349014966,3/14/2018 18:40,RT @margotwallstrom: Support the UKÉ??s decision to raise use of a nerve agent developed as a chemical weapon in attempted murder in SalisburÉ??,32,144,309,0.1,0.3
brrrrrrrit,40499805,3/14/2018 18:41,"RT @juliareinstein: IÉ??m in Wichita today, where I covered a high school walkout for gun reform. Two older men IÉ??ve met here - one former miÉ??",78,95,252,0.108888889,0.291111111
Grant White,2188282218,3/14/2018 18:40,"RT @J_amesp: Just been discussing the current situation at home.

As my better half says:

É??Even if people donÉ??t accept Russia as responsibÉ??",54,2118,862,0.111111111,0.355555556
IzzyIsOverwhelmed????,7.87E+17,3/14/2018 18:40,"RT @CoryBooker: A young man I knew was murdered at the top of my block yesterday: Shahid Smith. 

He was killed by an assault weapon that dÉ??",13625,13,67,0.133333333,0.3
SP,2989069212,3/14/2018 18:40,"RT @CoryBooker: A young man I knew was murdered at the top of my block yesterday: Shahid Smith. 

He was killed by an assault weapon that dÉ??",13625,288,203,0.133333333,0.3
Hanna,454557298,3/14/2018 18:41,"So owning a weapon is the extent of womenÉ??s right, god forbid she asks for basic health rights",0,1196,510,0.142857143,0.330357143
Sky,9.71E+17,3/14/2018 18:40,"#NationalWalkoutDay 
A list of all the students killed in mass shootings with three or more victims, since 2000, byÉ?? https://t.co/ILT9IllDDA",0,0,33,0.15,0.25
CoachPete-NSoB&S,4266088547,3/14/2018 18:40,RT @realjasonsteele: The Travel HackerÉ??s Secret Weapon: How To Fly Free (And Faster) With @Chase Ultimate Rewards https://t.co/hKSOy3GG0N vÉ??,1,6246,6844,0.2,0.85
Rui Liu,4895883373,3/14/2018 18:40,"RT @monsterhunter: The first major title update for #MHWorld is on the way for FREE, including Deviljho, Spring Blossom Fest, a Character EÉ??",1582,51,193,0.2375,0.544444444
soodleeÉ?õ,52506809,3/14/2018 18:41,"@Feisty_FL #NRA wants to arm children with assault weapons.
Besides who needs an assault weapon in a civilized sociÉ?? https://t.co/e4bCh4ONNm",0,331,1519,0.3,0.5
Ian Jones,865199690,3/14/2018 18:41,@robindavey01 Useful weapon though if he was affordable.,0,89,548,0.3,0
Heidi Elizabeth,374262348,3/14/2018 18:41,RT @kurteichenwald: I love asking gun nuts if they have the right to own a Davy Crocket gun. They ALWAYS say yes and scream about the seconÉ??,131,35,120,0.461904762,0.711904762
BigIndianGyasi,86564866,3/14/2018 18:40,"RT @PaulMinda1: @cheylvel @BigIndianGyasi I would still worry a lot about having teachers carry. Even among safe CCs, there's still risk ofÉ??",1,18030,2041,0.5,0.5
